yearBuilt,professional,listings,housingStock
≤1940s,2,0,3
1950s,1,0,4
1960s,9,5,10
1970s,26,31,25
1980s,20,19,23
1990s,16,11,16
2000s,16,7,9
2010s,10,27,10
2020s,0,0,0
