price,professional,listings
≤500,1,0
"500-1,000",10,0
"1,000-1,500",29,2
"1,500-2,000",33,11
"2,000-2,500",14,25
"2,500-3,000",7,25
"3,000-3,500",3,15
"3,500-4,000",1,11
"4,000-4,500",1,5
"4,500-5,000",0,1
"≥5,000",0,4
