DATE,TYPE,LOCATION,BUILT,FLOOR,MAIN FLOOR m2,PRICE,PRICE per m2
17-Jan-20,Apartment,ΚΗΦΙΣΙΑ ,1973,-,131,"230,000","1,756"
16-Feb-20,Apartment,ΚΗΦΙΣΙΑ ,1972,-,115,"225,000","1,957"
02-Feb-20,Apartment,ΚΗΦΙΣΙΑ ,2011,-,116,"260,000","2,241"
10-Mar-20,Apartment,ΚΗΦΙΣΙΑ ,2010,-,121,"253,176","2,092"
05-Feb-20,Apartment,ΚΗΦΙΣΙΑ ,1973,-,122,"215,000","1,762"
09-Feb-20,Apartment,ΚΗΦΙΣΙΑ ,1977,-,121,"310,000","2,562"
22-Jun-20,Apartment,ΚΗΦΙΣΙΑ ,1994,-,145,"341,084","2,352"
03-Aug-20,Apartment,ΚΗΦΙΣΙΑ ,1998,-,119,"254,195","2,136"
