DATE,TYPE,PROXIMITY,BUILT,FLOOR,MAIN_FLOOR_m2,PRICE,PRICE_per_m2,AVM_PRICE,AVM_PRICE_per_m2,CONFIDENCE_LEVEL
03-Sep-20,Apartment,300,1972,1,220,410640,1867,429388,1952,High
03-Sep-20,Apartment,500,1973,-1,195,322031,1657,333209,1709,High
03-Sep-20,Apartment,200,1955,-1,205,344280,1679,355128,1732,High
03-Sep-20,Apartment,700,1976,3,239,721702,3020,744442,3115,Medium
03-Sep-20,Apartment,400,1972,3,267,751338,2814,775011,2903,High
03-Sep-20,Apartment,800,1979,,209,447318,2140,462201,2211,Medium
03-Sep-20,Apartment,800,1997,2,88,275000,3125,152283,1730,Medium
03-Sep-20,Apartment,800,1979,1,91,146000,1604,155333,1707,Medium
