floorArea,professional,listings,stock
≤40,2,1,2
40-49,2,0,2
50-59,4,2,4
60-69,7,2,6
70-79,8,6,6
80-89,10,5,7
90-99,8,2,6
100-109,10,6,8
110-119,8,6,6
≥120,41,70,53
